"","species","ID","N_wght_p_GREEN","N_wght_p_DEAD","C_wght_p_GREEN","C_wght_p_DEAD"
"304","F3","165_26B_65",2.78,1.81,40.61,40.55
"305","F3","165_26B_66",2.64,2.29,39.13,38.09
"306","F3","165_26B_68",3.57,2.2,40.97,38.87
"307","F3","165_26B_75",3.33,2.32,41.22,40.84
"308","F3","165_26B_76",2.51,1.58,39.22,37.59
"309","F3","165_26B_78",2.76,2.43,39.78,39.28
"310","F3","165_26B_79",2.64,2.68,41.89,42.02
"311","F3","165_26B_80",2.9,2.16,39.11,37.84
"312","F3","165_26B_81",2.62,1.79,38.71,37.09
"313","F3","165_26B_82",2.89,2.04,39.26,37.49
"314","F3","165_26B_83",2.96,2.67,40.25,39.39
"315","F3","165_26B_84",2.68,2.02,39.52,37.66
"316","F3","165_26B_85",3.09,2.3,40.08,39.42
"317","F3","165_26B_86",2.69,1.9,39.98,38.67
"318","F3","165_26B_99",2.81,2.19,41.43,40.51
"319","F3","165_26C_102",3.39,2.1,39.81,38.7
"320","F3","165_26C_106",3.2,2.15,41.03,40.49
"321","F3","165_26C_109",2.38,1.94,40.31,38.82
"322","F3","165_26C_110",3.16,2.83,41.48,41.46
"323","F3","165_26C_112",2.76,2.42,40.16,39.01
"324","F3","165_26C_113",2.48,1.94,41.41,40.12
"325","F3","165_26C_114",2.89,2.25,38.49,36.48
"326","F3","165_26C_118",3.35,3.14,40.23,39.84
"327","F3","165_26C_120",3.16,2.26,40.74,41.04
"328","F3","165_26C_128",3.51,2.29,37.75,38.24
"329","F3","165_26C_129",3.16,2.18,38.72,37.56
"330","F3","165_26C_131",3.1,2.55,37.83,37.47
"331","F3","165_26C_132",3.17,2.38,39.34,37.9
"332","F3","165_26C_144",2.99,2.5,39.06,38.42
"333","F3","165_26C_145",3.7,2.7,39.39,38.61
"334","F3","165_26C_146",3.19,2.39,39.44,39.5
"335","F3","165_26C_160",3.24,2.65,39.99,38.17
"336","F3","165_26C_195",3.33,2.75,40.57,41.08
"337","F3","165_26C_200",3.97,2.43,39.69,39.82
"338","F3","165_26C_209",4.02,2.71,40.04,39.53
"339","F3","165_26C_210",3.43,2.53,38.84,39.01
"340","F3","165_26C_226",2.96,1.97,38.4,37.66
"341","F3","165_26C_228",2.92,1.77,38.32,38.08
"342","F3","165_26C_229",3.44,2.32,37.52,37.01
"343","F3","165_26D_123",3.94,2.69,39.62,39.62
"344","F3","165_26D_124",3.71,2.8,38.64,38.94
"345","F3","165_26D_125",3.84,3.27,40.22,38.17
"346","F3","165_26D_126",3.69,2.91,40.79,39.55
"347","F3","165_26D_127",3.84,3.48,39.99,40.75
"348","F3","165_26D_141",3.37,2.49,38.26,37.83
"349","F3","165_26D_148",3.12,2.5,38.31,37.91
"350","F3","165_26D_150",2.95,1.72,39.82,38.72
"351","F3","165_26D_151",3.93,2.85,39.64,39.13
"352","F3","165_26D_152",3.28,2.29,38.86,38.93
"353","F3","165_26D_153",3.67,2.84,40.84,39.7
"354","F3","165_26d_154",3.2,1.96,37.37,36.84
"355","F3","165_26D_155",3.46,2.76,38.72,37.68
"356","F3","165_26D_156",3.19,2.49,39.21,39.54
"357","F3","165_26D_161",3.87,3.07,37.72,37.57
"358","F3","165_26D_162",3.25,2.18,41.5,40.43
"359","F3","165_26D_164",3.3,NA,40.39,NA
"360","F3","165_26D_165",3.39,2.42,38.91,39.37
"361","F3","165_26D_170",2.93,2.16,38.3,38.06
"362","F3","165_26D_171",3.11,2.29,38.2,37.93
"363","F3","165_26D_173",3.08,2.34,39.33,38.68
"364","F3","165_26D_175",2.91,2.34,38.8,37.96
"365","F3","165_26D_176",3.21,3,40.24,40.05
"366","F3","165_26D_178",3.41,2.6,39.01,38.92
"367","F3","165_26D_186",2.78,2.04,40.14,38.7
"368","F3","165_26D_187",3.74,2.8,39.01,38
"369","F3","165_26D_192",3.66,2.56,39.31,38.61
"370","F3","165_26D_197",4,2.51,39.74,38.24
"371","F3","165_26D_206",2.91,2.02,37.08,37.78
"372","F3","165_26D_213",NA,2.25,NA,33.64
"373","F3","165_26D_216",NA,2.21,NA,38.61
"374","F3","165_26D_217",3.35,2.39,37.21,37.2
"375","F3","165_26D_224",3.28,1.79,38.83,34.85
"376","F3","165_26E_138",3.46,2.41,41.16,39.65
"377","F3","165_26E_139",3.01,2.39,37.95,37.73
"378","F3","165_26e_140",3.34,2.46,39.26,39.2
"379","F3","165_26E_157",3.72,2.41,39.04,38.8
"380","F3","165_26E_158",3.46,2.89,40.73,40.07
"381","F3","165_26E_167",2.96,2.56,38.82,38.26
"382","F3","165_26E_179",2.98,2.25,38.74,37.86
"383","F3","165_26E_180",2.94,2.36,38.1,36.97
"384","F3","165_26E_189",3.74,2.32,38.7,38.53
"385","F3","165_26E_190",4.08,3.09,39,39.55
"386","F3","165_26E_194",4.03,2.72,39.75,40.73
"387","F3","165_26E_196",3.59,3.1,39.26,39.19
"388","F3","165_26E_198",4.11,2.49,39.19,39.35
"389","F3","165_26E_199",3.4,2.44,41.91,41.71
"390","F3","165_26E_201",3.34,2.6,41.66,41.75
"391","F3","165_26E_214",NA,1.76,NA,39.1
