"ID","GREEN","DEAD"
"ALLE_PLR2_002_18",2.96,1.74
"ALLE_UNKNOWN",2.4,2.24
"VILL_GG_0007_15",3.41,1.51
"VILL_GG_0007_3",3.97,1.42
"VILL_GG_0007_40",NA,1.33
"VILL_GG_0007_42",3.5,1.15
"VILL_GG_0007_43",3.92,NA
"VILL_GG_0007_49",3.65,1.16
"VILL_GG_0007_50",3.34,1.55
"VILL_GG_0007_53",3.64,1.53
"VILL_GG_0007_54",3.53,1.24
"VILL_GG_0007_56",3.55,NA
"VILL_GG_0007_57",3.36,1.22
"VILL_GG_0007_60",3.4,1.02
"VILL_GG_0007_61",3.64,1.24
"VILL_GG_0007_77",3.72,1.59
"VILL_GG_0007_78",NA,1.13
"VILL_GG_0007_801",NA,1.49
"VILL_GG_0007_88",3.51,NA
"VILL_GG_009",2.97,1.13
"VILL_GRR1_015",2.66,0.82
"VILL_GRR2_002",2.11,0.68
"VILL_JH0249A",2.76,1.04
"VILL_JH0249B",2.93,1.4
"VILL_OMT_005",2.81,1.05
