ID,G_parent,parent,type,tissue_collected,D_extracted,days_to_radicle,GR.M2.date,GR.cm.dy,GR.days,total_growth,notes,date,thick.1,thick.2,thick.3,tough.1,tough.2,tough.3,area,wet.g,wet.date,dry.g,dry.date,tmp.ldmc,N_wght_p_GREEN,N_wght_p_DEAD,DD_date_start,PER1_start,PER2_start,Grn.SPAD_start,date_end,PER1_end,PER2_end,Dry.SPAD_end,C_wght_p_GREEN,C_wght_p_DEAD
165_009_75,165,165_009,F3,y,y,18,6/6/22,0.76,26,19.8,,7/25/22,0.346,0.398,0.487,60,94,120,43.9,1.63,8/1/22,0.22,8/5/22,0.134969325,3.85,2.44,8/1/22,3597,3954,54.5,9/9/22,2006,2003,28.8,38.78,39.1
165_009_76,165,165_009,F3,y,y,18,6/6/22,0.59,26,15.4,,7/25/22,0.358,0.428,0.544,48,80,94,40.72,1.63,8/1/22,0.2,8/5/22,0.122699387,3.17,2.02,8/1/22,3448,3933,48.6,9/5/22,2022,2031,20,36.55,35.77
165_009_78,165,165_009,F3,y,y,18,5/30/22,0.37,26,9.6,,7/15/22,0.347,0.377,0.554,46,88,140,33.97,1.43,7/16/22,0.19,7/29/22,0.132867133,3.82,3.03,7/25/22,3014,3128,54.2,9/2/22,2017,2039,26.3,38.1,36.58
165_009_79,165,165_009,F3,y,y,21,5/30/22,0.52,26,13.4,,7/14/22,0.441,0.485,0.682,96,120,154,39.39,1.67,7/16/22,0.23,7/21/22,0.137724551,3.34,2.05,7/25/22,3407,3383,63.8,8/19/22,2006,2013,38.3,38.08,36.56
165_009_80,165,165_009,F3,y,y,21,5/30/22,0.53,26,13.7,,7/14/22,0.429,0.508,0.605,76,88,146,38.17,1.49,7/16/22,0.17,7/21/22,0.11409396,3.25,2.19,7/25/22,3108,3028,65,8/19/22,2011,2008,40.1,37.79,36.45
165_009_82,165,165_009,F3,y,y,21,6/6/22,0.62,26,16,,7/25/22,0.407,0.443,0.518,82,106,122,43.51,1.81,8/1/22,0.24,8/5/22,0.132596685,3.38,1.88,8/1/22,4267,3793,56,9/2/22,2029,2060,24.8,37.89,37.48
165_009_83,165,165_009,F3,y,y,21,5/30/22,0.76,26,19.7,,7/15/22,0.347,0.41,0.604,78,84,104,45.79,2.06,7/16/22,0.22,7/29/22,0.106796117,3.16,1.74,7/25/22,2998,2960,59.2,8/26/22,2019,2014,20,37.72,36.01
165_009_85,165,165_009,F3,y,y,21,5/30/22,0.58,26,15.1,,7/14/22,0.42,0.457,0.652,68,106,138,23.54,0.87,7/16/22,0.1,7/21/22,0.114942529,3.74,2,7/25/22,3324,3122,56.1,8/19/22,2023,2005,19,37.77,36.37
165_009_87,165,165_009,F3,y,y,21,6/13/22,0.53,26,13.8,,8/7/22,0.382,0.455,0.539,62,164,200,37.64,1.64,8/5/22,0.22,8/10/22,0.134146341,3.61,2.96,8/8/22,3820,3512,60.3,9/1/22,2186,2183,27.7,38.097,39.57
165_009_88,165,165_009,F3,y,y,21,6/6/22,0.65,26,16.9,,7/25/22,0.343,0.385,0.488,42,60,130,34.75,1.42,8/1/22,0.18,8/5/22,0.126760563,3.31,2.17,8/1/22,2658,2504,51.9,8/26/22,2034,2029,25.2,37.89,37.43
